age_group,cases,deaths,date
0-5 years,143,0,2020-05-13
6-19 years,656,0,2020-05-13
20-29 years,2255,0,2020-05-13
30-39 years,2543,2,2020-05-13
40-49 years,2043,6,2020-05-13
50-59 years,2007,32,2020-05-13
60-69 years,1293,72,2020-05-13
70+ years,1969,525,2020-05-13
Unknown/missing,8,1,2020-05-13
0-5 years,148,0,2020-05-14
6-19 years,692,0,2020-05-14
20-29 years,2344,0,2020-05-14
30-39 years,2652,3,2020-05-14
40-49 years,2125,6,2020-05-14
50-59 years,2092,34,2020-05-14
60-69 years,1341,72,2020-05-14
70+ years,2034,548,2020-05-14
Unknown/missing,7,0,2020-05-14
0-5 years,176,0,2020-05-15
6-19 years,763,0,2020-05-15
20-29 years,2492,0,2020-05-15
30-39 years,2816,3,2020-05-15
40-49 years,2241,6,2020-05-15
50-59 years,2200,35,2020-05-15
60-69 years,1412,76,2020-05-15
70+ years,2133,563,2020-05-15
Unknown/missing,7,0,2020-05-15
0-5 years,186,0,2020-05-16
6-19 years,830,0,2020-05-16
20-29 years,2628,0,2020-05-16
30-39 years,2982,3,2020-05-16
40-49 years,2340,7,2020-05-16
50-59 years,2287,35,2020-05-16
60-69 years,1476,76,2020-05-16
70+ years,2232,579,2020-05-16
Unknown/missing,8,0,2020-05-16
0-5 years,208,0,2020-05-17
6-19 years,878,0,2020-05-17
20-29 years,2738,0,2020-05-17
30-39 years,3130,3,2020-05-17
40-49 years,2461,7,2020-05-17
50-59 years,2395,36,2020-05-17
60-69 years,1543,77,2020-05-17
70+ years,2307,599,2020-05-17
Unknown/missing,8,0,2020-05-17
0-5 years,224,0,2020-05-18
6-19 years,941,0,2020-05-18
20-29 years,2866,0,2020-05-18
30-39 years,3280,3,2020-05-18
40-49 years,2576,7,2020-05-18
50-59 years,2488,37,2020-05-18
60-69 years,1595,77,2020-05-18
70+ years,2394,607,2020-05-18
Unknown/missing,8,0,2020-05-18
0-5 years,242,0,2020-05-19
6-19 years,1009,0,2020-05-19
20-29 years,3010,0,2020-05-19
30-39 years,3402,3,2020-05-19
40-49 years,2679,7,2020-05-19
50-59 years,2569,37,2020-05-19
60-69 years,1639,83,2020-05-19
70+ years,2471,618,2020-05-19
Unknown/missing,8,0,2020-05-19
0-5 years,259,0,2020-05-20
6-19 years,1077,0,2020-05-20
20-29 years,3128,0,2020-05-20
30-39 years,3542,3,2020-05-20
40-49 years,2802,8,2020-05-20
50-59 years,2648,38,2020-05-20
60-69 years,1684,88,2020-05-20
70+ years,2522,640,2020-05-20
Unknown/missing,8,0,2020-05-20
0-5 years,278,0,2020-05-21
6-19 years,1115,0,2020-05-21
20-29 years,3231,0,2020-05-21
30-39 years,3633,3,2020-05-21
40-49 years,2881,8,2020-05-21
50-59 years,2724,39,2020-05-21
60-69 years,1733,89,2020-05-21
70-79 years,1036,175,2020-05-21
80-89 years,970,272,2020-05-21
90-99 years,558,208,2020-05-21
100+ years,33,15,2020-05-21
Unknown/missing,8,0,2020-05-21
0-5 years,295,0,2020-05-22
6-19 years,1186,0,2020-05-22
20-29 years,3403,0,2020-05-22
30-39 years,3827,4,2020-05-22
40-49 years,3001,8,2020-05-22
50-59 years,2829,40,2020-05-22
60-69 years,1788,96,2020-05-22
70-79 years,1067,178,2020-05-22
80-89 years,1001,285,2020-05-22
90-99 years,567,216,2020-05-22
100+ years,33,15,2020-05-22
Unknown/missing,8,0,2020-05-22
0-5 years,318,0,2020-05-23
6-19 years,1260,0,2020-05-23
20-29 years,3580,0,2020-05-23
30-39 years,3981,4,2020-05-23
40-49 years,3124,8,2020-05-23
50-59 years,2942,42,2020-05-23
60-69 years,1855,98,2020-05-23
70-79 years,1115,178,2020-05-23
80-89 years,1032,288,2020-05-23
90-99 years,597,219,2020-05-23
100+ years,34,15,2020-05-23
Unknown/missing,7,0,2020-05-23
0-5 years,334,0,2020-05-24
6-19 years,1324,0,2020-05-24
20-29 years,3736,0,2020-05-24
30-39 years,4123,4,2020-05-24
40-49 years,3268,8,2020-05-24
50-59 years,3026,44,2020-05-24
60-69 years,1905,98,2020-05-24
70-79 years,1145,181,2020-05-24
80-89 years,1063,295,2020-05-24
90-99 years,607,224,2020-05-24
100+ years,35,15,2020-05-24
Unknown/missing,7,0,2020-05-24
0-5 years,350,0,2020-05-25
6-19 years,1379,0,2020-05-25
20-29 years,3899,0,2020-05-25
30-39 years,4277,4,2020-05-25
40-49 years,3381,8,2020-05-25
50-59 years,3120,44,2020-05-25
60-69 years,1972,99,2020-05-25
70-79 years,1172,182,2020-05-25
80-89 years,1097,300,2020-05-25
90-99 years,625,229,2020-05-25
100+ years,37,15,2020-05-25
Unknown/missing,6,0,2020-05-25
0-5 years,369,0,2020-05-26
6-19 years,1442,0,2020-05-26
20-29 years,4020,0,2020-05-26
30-39 years,4397,4,2020-05-26
40-49 years,3486,9,2020-05-26
50-59 years,3209,44,2020-05-26
60-69 years,2014,102,2020-05-26
70-79 years,1203,183,2020-05-26
80-89 years,1126,305,2020-05-26
90-99 years,651,236,2020-05-26
100+ years,37,16,2020-05-26
Unknown/missing,6,0,2020-05-26
0-5 years,387,0,2020-05-27
6-19 years,1488,0,2020-05-27
20-29 years,4117,0,2020-05-27
30-39 years,4498,5,2020-05-27
40-49 years,3562,9,2020-05-27
50-59 years,3273,44,2020-05-27
60-69 years,2059,106,2020-05-27
70-79 years,1225,189,2020-05-27
80-89 years,1148,316,2020-05-27
90-99 years,659,245,2020-05-27
100+ years,37,18,2020-05-27
Unknown/missing,11,0,2020-05-27
0-5 years,397,0,2020-05-28
6-19 years,1536,0,2020-05-28
20-29 years,4212,0,2020-05-28
30-39 years,4580,6,2020-05-28
40-49 years,3660,10,2020-05-28
50-59 years,3335,47,2020-05-28
60-69 years,2103,110,2020-05-28
70-79 years,1243,195,2020-05-28
80-89 years,1171,331,2020-05-28
90-99 years,662,248,2020-05-28
100+ years,38,20,2020-05-28
Unknown/missing,10,0,2020-05-28
0-5 years,419,0,2020-05-29
6-19 years,1579,0,2020-05-29
20-29 years,4314,0,2020-05-29
30-39 years,4694,6,2020-05-29
40-49 years,3775,12,2020-05-29
50-59 years,3432,48,2020-05-29
60-69 years,2142,113,2020-05-29
70-79 years,1264,200,2020-05-29
80-89 years,1188,337,2020-05-29
90-99 years,675,259,2020-05-29
100+ years,38,21,2020-05-29
Unknown/missing,11,0,2020-05-29
0-5 years,437,0,2020-05-30
6-19 years,1648,0,2020-05-30
20-29 years,4448,0,2020-05-30
30-39 years,4835,6,2020-05-30
40-49 years,3871,12,2020-05-30
50-59 years,3512,50,2020-05-30
60-69 years,2199,116,2020-05-30
70-79 years,1283,202,2020-05-30
80-89 years,1221,353,2020-05-30
90-99 years,687,266,2020-05-30
100+ years,38,21,2020-05-30
Unknown/missing,11,0,2020-05-30
0-5 years,455,0,2020-05-31
6-19 years,1709,0,2020-05-31
20-29 years,4588,0,2020-05-31
30-39 years,4964,6,2020-05-31
40-49 years,3970,12,2020-05-31
50-59 years,3590,50,2020-05-31
60-69 years,2266,117,2020-05-31
70-79 years,1313,205,2020-05-31
80-89 years,1249,357,2020-05-31
90-99 years,698,270,2020-05-31
100+ years,39,23,2020-05-31
Unknown/missing,9,0,2020-05-31
0-5 years,460,0,2020-06-01
6-19 years,1752,0,2020-06-01
20-29 years,4660,0,2020-06-01
30-39 years,5036,6,2020-06-01
40-49 years,4015,12,2020-06-01
50-59 years,3640,51,2020-06-01
60-69 years,2292,118,2020-06-01
70-79 years,1329,205,2020-06-01
80-89 years,1273,361,2020-06-01
90-99 years,700,274,2020-06-01
100+ years,41,23,2020-06-01
Unknown/missing,10,0,2020-06-01
0-5 years,467,0,2020-06-02
6-19 years,1780,0,2020-06-02
20-29 years,4707,0,2020-06-02
30-39 years,5105,6,2020-06-02
40-49 years,4059,12,2020-06-02
50-59 years,3673,51,2020-06-02
60-69 years,2315,122,2020-06-02
70-79 years,1347,212,2020-06-02
80-89 years,1290,368,2020-06-02
90-99 years,714,278,2020-06-02
100+ years,41,23,2020-06-02
Unknown/missing,10,0,2020-06-02
0-5 years,480,0,2020-06-03
6-19 years,1815,0,2020-06-03
20-29 years,4769,0,2020-06-03
30-39 years,5181,6,2020-06-03
40-49 years,4121,13,2020-06-03
50-59 years,3732,51,2020-06-03
60-69 years,2344,123,2020-06-03
70-79 years,1358,214,2020-06-03
80-89 years,1299,374,2020-06-03
90-99 years,722,282,2020-06-03
100+ years,42,23,2020-06-03
Unknown/missing,7,0,2020-06-03
0-5 years,493,0,2020-06-04
6-19 years,1854,0,2020-06-04
20-29 years,4867,0,2020-06-04
30-39 years,5273,7,2020-06-04
40-49 years,4185,13,2020-06-04
50-59 years,3776,53,2020-06-04
60-69 years,2374,125,2020-06-04
70-79 years,1368,221,2020-06-04
80-89 years,1309,384,2020-06-04
90-99 years,726,289,2020-06-04
100+ years,41,23,2020-06-04
Unknown/missing,7,0,2020-06-04
0-5 years,514,0,2020-06-05
6-19 years,1923,0,2020-06-05
20-29 years,5018,0,2020-06-05
30-39 years,5433,7,2020-06-05
40-49 years,4306,13,2020-06-05
50-59 years,3877,55,2020-06-05
60-69 years,2414,129,2020-06-05
70-79 years,1383,225,2020-06-05
80-89 years,1328,394,2020-06-05
90-99 years,738,301,2020-06-05
100+ years,41,24,2020-06-05
Unknown/missing,5,0,2020-06-05
0-5 years,526,0,2020-06-06
6-19 years,1977,0,2020-06-06
20-29 years,5140,1,2020-06-06
30-39 years,5559,7,2020-06-06
40-49 years,4392,13,2020-06-06
50-59 years,3943,57,2020-06-06
60-69 years,2435,132,2020-06-06
70-79 years,1395,229,2020-06-06
80-89 years,1340,402,2020-06-06
90-99 years,746,305,2020-06-06
100+ years,41,24,2020-06-06
Unknown/missing,7,0,2020-06-06
0-5 years,535,0,2020-06-07
6-19 years,2015,0,2020-06-07
20-29 years,5244,1,2020-06-07
30-39 years,5648,7,2020-06-07
40-49 years,4447,14,2020-06-07
50-59 years,3987,57,2020-06-07
60-69 years,2458,134,2020-06-07
70-79 years,1403,232,2020-06-07
80-89 years,1350,408,2020-06-07
90-99 years,751,309,2020-06-07
100+ years,41,24,2020-06-07
Unknown/missing,7,0,2020-06-07
0-5 years,543,0,2020-06-08
6-19 years,2054,0,2020-06-08
20-29 years,5302,2,2020-06-08
30-39 years,5724,7,2020-06-08
40-49 years,4509,14,2020-06-08
50-59 years,4031,57,2020-06-08
60-69 years,2482,138,2020-06-08
70-79 years,1413,233,2020-06-08
80-89 years,1362,411,2020-06-08
90-99 years,756,311,2020-06-08
100+ years,41,24,2020-06-08
Unknown/missing,7,0,2020-06-08
0-5 years,551,0,2020-06-09
6-19 years,2092,0,2020-06-09
20-29 years,5355,2,2020-06-09
30-39 years,5787,8,2020-06-09
40-49 years,4549,14,2020-06-09
50-59 years,4074,59,2020-06-09
60-69 years,2505,139,2020-06-09
70-79 years,1427,235,2020-06-09
80-89 years,1374,419,2020-06-09
90-99 years,763,317,2020-06-09
100+ years,41,24,2020-06-09
Unknown/missing,5,0,2020-06-09
0-5 years,558,0,2020-06-10
6-19 years,2111,0,2020-06-10
20-29 years,5427,2,2020-06-10
30-39 years,5861,9,2020-06-10
40-49 years,4598,14,2020-06-10
50-59 years,4127,59,2020-06-10
60-69 years,2529,141,2020-06-10
70-79 years,1446,240,2020-06-10
80-89 years,1393,426,2020-06-10
90-99 years,775,321,2020-06-10
100+ years,41,24,2020-06-10
Unknown/missing,3,0,2020-06-10
0-5 years,572,0,2020-06-11
6-19 years,2152,0,2020-06-11
20-29 years,5528,2,2020-06-11
30-39 years,5950,9,2020-06-11
40-49 years,4669,14,2020-06-11
50-59 years,4173,60,2020-06-11
60-69 years,2560,141,2020-06-11
70-79 years,1469,243,2020-06-11
80-89 years,1413,433,2020-06-11
90-99 years,784,323,2020-06-11
100+ years,43,24,2020-06-11
Unknown/missing,3,0,2020-06-11
0-5 years,585,0,2020-06-12
6-19 years,2192,0,2020-06-12
20-29 years,5635,2,2020-06-12
30-39 years,6055,9,2020-06-12
40-49 years,4761,14,2020-06-12
50-59 years,4224,60,2020-06-12
60-69 years,2595,146,2020-06-12
70-79 years,1486,250,2020-06-12
80-89 years,1419,439,2020-06-12
90-99 years,790,330,2020-06-12
100+ years,44,24,2020-06-12
Unknown/missing,9,0,2020-06-12
0-5 years,594,0,2020-06-13
6-19 years,2235,0,2020-06-13
20-29 years,5726,2,2020-06-13
30-39 years,6119,9,2020-06-13
40-49 years,4833,14,2020-06-13
50-59 years,4277,61,2020-06-13
60-69 years,2617,148,2020-06-13
70-79 years,1496,251,2020-06-13
80-89 years,1429,442,2020-06-13
90-99 years,793,332,2020-06-13
100+ years,44,24,2020-06-13
Unknown/missing,9,0,2020-06-13
0-5 years,609,0,2020-06-14
6-19 years,2269,0,2020-06-14
20-29 years,5788,2,2020-06-14
30-39 years,6178,9,2020-06-14
40-49 years,4870,14,2020-06-14
50-59 years,4312,62,2020-06-14
60-69 years,2647,149,2020-06-14
70-79 years,1507,254,2020-06-14
80-89 years,1440,446,2020-06-14
90-99 years,797,338,2020-06-14
100+ years,44,24,2020-06-14
Unknown/missing,10,0,2020-06-14
0-5 years,614,0,2020-06-15
6-19 years,2297,0,2020-06-15
20-29 years,5829,2,2020-06-15
30-39 years,6234,9,2020-06-15
40-49 years,4901,14,2020-06-15
50-59 years,4341,62,2020-06-15
60-69 years,2662,151,2020-06-15
70-79 years,1516,256,2020-06-15
80-89 years,1447,448,2020-06-15
90-99 years,798,338,2020-06-15
100+ years,44,24,2020-06-15
Unknown/missing,10,0,2020-06-15
0-5 years,623,0,2020-06-16
6-19 years,2331,0,2020-06-16
20-29 years,5862,2,2020-06-16
30-39 years,6268,9,2020-06-16
40-49 years,4936,14,2020-06-16
50-59 years,4365,62,2020-06-16
60-69 years,2675,153,2020-06-16
70-79 years,1520,256,2020-06-16
80-89 years,1450,450,2020-06-16
90-99 years,799,343,2020-06-16
100+ years,44,24,2020-06-16
Unknown/missing,9,0,2020-06-16
0-5 years,641,0,2020-06-17
6-19 years,2403,0,2020-06-17
20-29 years,5958,2,2020-06-17
30-39 years,6353,9,2020-06-17
40-49 years,4993,14,2020-06-17
50-59 years,4410,62,2020-06-17
60-69 years,2702,154,2020-06-17
70-79 years,1529,258,2020-06-17
80-89 years,1456,455,2020-06-17
90-99 years,800,346,2020-06-17
100+ years,44,25,2020-06-17
Unknown/missing,7,0,2020-06-17
0-5 years,651,0,2020-06-18
6-19 years,2446,0,2020-06-18
20-29 years,6058,2,2020-06-18
30-39 years,6427,10,2020-06-18
40-49 years,5049,14,2020-06-18
50-59 years,4456,63,2020-06-18
60-69 years,2726,158,2020-06-18
70-79 years,1542,263,2020-06-18
80-89 years,1465,459,2020-06-18
90-99 years,803,349,2020-06-18
100+ years,45,26,2020-06-18
Unknown/missing,7,0,2020-06-18
0-5 years,657,0,2020-06-19
6-19 years,2497,0,2020-06-19
20-29 years,6163,2,2020-06-19
30-39 years,6483,10,2020-06-19
40-49 years,5093,14,2020-06-19
50-59 years,4499,63,2020-06-19
60-69 years,2745,159,2020-06-19
70-79 years,1554,267,2020-06-19
80-89 years,1480,465,2020-06-19
90-99 years,807,355,2020-06-19
100+ years,46,26,2020-06-19
Unknown/missing,7,0,2020-06-19
0-5 years,672,0,2020-06-20
6-19 years,2551,0,2020-06-20
20-29 years,6295,2,2020-06-20
30-39 years,6557,10,2020-06-20
40-49 years,5150,14,2020-06-20
50-59 years,4545,65,2020-06-20
60-69 years,2771,160,2020-06-20
70-79 years,1570,268,2020-06-20
80-89 years,1491,468,2020-06-20
90-99 years,810,358,2020-06-20
100+ years,46,27,2020-06-20
Unknown/missing,9,0,2020-06-20
0-5 years,686,0,2020-06-21
6-19 years,2608,0,2020-06-21
20-29 years,6440,2,2020-06-21
30-39 years,6627,10,2020-06-21
40-49 years,5212,14,2020-06-21
50-59 years,4593,65,2020-06-21
60-69 years,2797,160,2020-06-21
70-79 years,1583,269,2020-06-21
80-89 years,1503,471,2020-06-21
90-99 years,816,362,2020-06-21
100+ years,46,27,2020-06-21
Unknown/missing,9,0,2020-06-21
0-5 years,699,0,2020-06-22
6-19 years,2657,0,2020-06-22
20-29 years,6539,2,2020-06-22
30-39 years,6673,10,2020-06-22
40-49 years,5246,14,2020-06-22
50-59 years,4627,65,2020-06-22
60-69 years,2814,161,2020-06-22
70-79 years,1590,270,2020-06-22
80-89 years,1509,473,2020-06-22
90-99 years,817,362,2020-06-22
100+ years,46,27,2020-06-22
Unknown/missing,10,0,2020-06-22
0-5 years,708,0,2020-06-23
6-19 years,2681,0,2020-06-23
20-29 years,6629,2,2020-06-23
30-39 years,6715,10,2020-06-23
40-49 years,5273,14,2020-06-23
50-59 years,4647,66,2020-06-23
60-69 years,2825,163,2020-06-23
70-79 years,1604,270,2020-06-23
80-89 years,1514,477,2020-06-23
90-99 years,817,364,2020-06-23
100+ years,46,27,2020-06-23
Unknown/missing,10,0,2020-06-23
0-5 years,716,0,2020-06-24
6-19 years,2713,0,2020-06-24
20-29 years,6747,2,2020-06-24
30-39 years,6757,10,2020-06-24
40-49 years,5314,14,2020-06-24
50-59 years,4676,67,2020-06-24
60-69 years,2838,165,2020-06-24
70-79 years,1610,270,2020-06-24
80-89 years,1520,477,2020-06-24
90-99 years,817,365,2020-06-24
100+ years,46,27,2020-06-24
Unknown/missing,9,0,2020-06-24
0-5 years,728,0,2020-06-25
6-19 years,2767,0,2020-06-25
20-29 years,6854,2,2020-06-25
30-39 years,6834,10,2020-06-25
40-49 years,5354,15,2020-06-25
50-59 years,4711,68,2020-06-25
60-69 years,2852,166,2020-06-25
70-79 years,1622,270,2020-06-25
80-89 years,1526,481,2020-06-25
90-99 years,822,366,2020-06-25
100+ years,46,28,2020-06-25
Unknown/missing,7,0,2020-06-25
0-5 years,741,0,2020-06-26
6-19 years,2825,0,2020-06-26
20-29 years,7045,2,2020-06-26
30-39 years,6908,10,2020-06-26
40-49 years,5405,15,2020-06-26
50-59 years,4771,68,2020-06-26
60-69 years,2882,167,2020-06-26
70-79 years,1630,270,2020-06-26
80-89 years,1536,484,2020-06-26
90-99 years,825,367,2020-06-26
100+ years,48,28,2020-06-26
Unknown/missing,0,0,2020-06-26
0-5 years,755,0,2020-06-27
6-19 years,2891,0,2020-06-27
20-29 years,7186,2,2020-06-27
30-39 years,6978,10,2020-06-27
40-49 years,5452,15,2020-06-27
50-59 years,4804,68,2020-06-27
60-69 years,2907,168,2020-06-27
70-79 years,1640,272,2020-06-27
80-89 years,1543,486,2020-06-27
90-99 years,828,368,2020-06-27
100+ years,48,28,2020-06-27
Unknown/missing,1,0,2020-06-27
0-5 years,765,0,2020-06-28
6-19 years,2975,0,2020-06-28
20-29 years,7388,2,2020-06-28
30-39 years,7047,10,2020-06-28
40-49 years,5504,16,2020-06-28
50-59 years,4852,68,2020-06-28
60-69 years,2934,170,2020-06-28
70-79 years,1652,273,2020-06-28
80-89 years,1552,490,2020-06-28
90-99 years,830,368,2020-06-28
100+ years,49,28,2020-06-28
Unknown/missing,1,0,2020-06-28
0-5 years,777,0,2020-06-29
6-19 years,3024,0,2020-06-29
20-29 years,7514,2,2020-06-29
30-39 years,7082,10,2020-06-29
40-49 years,5543,17,2020-06-29
50-59 years,4886,71,2020-06-29
60-69 years,2944,170,2020-06-29
70-79 years,1656,275,2020-06-29
80-89 years,1554,491,2020-06-29
90-99 years,831,371,2020-06-29
100+ years,49,28,2020-06-29
Unknown/missing,1,0,2020-06-29
0-5 years,784,0,2020-06-30
6-19 years,3106,0,2020-06-30
20-29 years,7675,2,2020-06-30
30-39 years,7145,10,2020-06-30
40-49 years,5597,17,2020-06-30
50-59 years,4921,71,2020-06-30
60-69 years,2963,171,2020-06-30
70-79 years,1667,278,2020-06-30
80-89 years,1559,492,2020-06-30
90-99 years,835,372,2020-06-30
100+ years,49,28,2020-06-30
Unknown/missing,2,0,2020-06-30
0-5 years,794,0,2020-07-01
6-19 years,3168,0,2020-07-01
20-29 years,7821,2,2020-07-01
30-39 years,7201,10,2020-07-01
40-49 years,5649,17,2020-07-01
50-59 years,4970,71,2020-07-01
60-69 years,2987,171,2020-07-01
70-79 years,1676,280,2020-07-01
80-89 years,1564,493,2020-07-01
90-99 years,836,373,2020-07-01
100+ years,49,28,2020-07-01
Unknown/missing,1,0,2020-07-01
0-5 years,802,0,2020-07-02
6-19 years,3253,0,2020-07-02
20-29 years,7979,2,2020-07-02
30-39 years,7272,10,2020-07-02
40-49 years,5707,17,2020-07-02
50-59 years,5024,73,2020-07-02
60-69 years,3013,174,2020-07-02
70-79 years,1694,280,2020-07-02
80-89 years,1576,498,2020-07-02
90-99 years,841,376,2020-07-02
100+ years,49,28,2020-07-02
Unknown/missing,0,0,2020-07-02
0-5 years,810,0,2020-07-03
6-19 years,3326,0,2020-07-03
20-29 years,8142,2,2020-07-03
30-39 years,7334,10,2020-07-03
40-49 years,5750,17,2020-07-03
50-59 years,5058,73,2020-07-03
60-69 years,3025,175,2020-07-03
70-79 years,1702,282,2020-07-03
80-89 years,1583,503,2020-07-03
90-99 years,845,376,2020-07-03
100+ years,49,28,2020-07-03
Unknown/missing,0,0,2020-07-03
0-5 years,810,0,2020-07-04
6-19 years,3326,0,2020-07-04
20-29 years,8142,2,2020-07-04
30-39 years,7334,10,2020-07-04
40-49 years,5750,17,2020-07-04
50-59 years,5058,73,2020-07-04
60-69 years,3025,175,2020-07-04
70-79 years,1702,282,2020-07-04
80-89 years,1583,503,2020-07-04
90-99 years,845,376,2020-07-04
100+ years,49,28,2020-07-04
Unknown/missing,0,0,2020-07-04
0-5 years,816,0,2020-07-05
6-19 years,3414,0,2020-07-05
20-29 years,8339,2,2020-07-05
30-39 years,7411,10,2020-07-05
40-49 years,5796,17,2020-07-05
50-59 years,5108,73,2020-07-05
60-69 years,3043,175,2020-07-05
70-79 years,1719,283,2020-07-05
80-89 years,1594,507,2020-07-05
90-99 years,847,376,2020-07-05
100+ years,49,28,2020-07-05
Unknown/missing,0,0,2020-07-05
0-5 years,823,0,2020-07-06
6-19 years,3488,0,2020-07-06
20-29 years,8474,2,2020-07-06
30-39 years,7479,10,2020-07-06
40-49 years,5848,18,2020-07-06
50-59 years,5153,73,2020-07-06
60-69 years,3067,176,2020-07-06
70-79 years,1736,283,2020-07-06
80-89 years,1601,507,2020-07-06
90-99 years,851,377,2020-07-06
100+ years,49,28,2020-07-06
Unknown/missing,0,0,2020-07-06
0-5 years,838,0,2020-07-07
6-19 years,3598,0,2020-07-07
20-29 years,8665,2,2020-07-07
30-39 years,7549,10,2020-07-07
40-49 years,5912,18,2020-07-07
50-59 years,5209,75,2020-07-07
60-69 years,3098,176,2020-07-07
70-79 years,1751,284,2020-07-07
80-89 years,1611,507,2020-07-07
90-99 years,853,377,2020-07-07
100+ years,49,28,2020-07-07
Unknown/missing,0,0,2020-07-07
0-5 years,847,0,2020-07-08
6-19 years,3672,0,2020-07-08
20-29 years,8818,2,2020-07-08
30-39 years,7631,11,2020-07-08
40-49 years,5960,19,2020-07-08
50-59 years,5261,75,2020-07-08
60-69 years,3123,178,2020-07-08
70-79 years,1758,284,2020-07-08
80-89 years,1614,509,2020-07-08
90-99 years,856,379,2020-07-08
100+ years,49,28,2020-07-08
Unknown/missing,0,0,2020-07-08
0-5 years,856,0,2020-07-09
6-19 years,3788,0,2020-07-09
20-29 years,8990,2,2020-07-09
30-39 years,7702,11,2020-07-09
40-49 years,6028,19,2020-07-09
50-59 years,5322,75,2020-07-09
60-69 years,3162,178,2020-07-09
70-79 years,1778,284,2020-07-09
80-89 years,1628,511,2020-07-09
90-99 years,859,382,2020-07-09
100+ years,49,28,2020-07-09
Unknown/missing,1,0,2020-07-09
0-5 years,864,0,2020-07-10
6-19 years,3876,0,2020-07-10
20-29 years,9206,2,2020-07-10
30-39 years,7785,11,2020-07-10
40-49 years,6101,19,2020-07-10
50-59 years,5397,76,2020-07-10
60-69 years,3199,180,2020-07-10
70-79 years,1797,284,2020-07-10
80-89 years,1632,511,2020-07-10
90-99 years,860,384,2020-07-10
100+ years,49,28,2020-07-10
Unknown/missing,1,0,2020-07-10
0-5 years,885,0,2020-07-11
6-19 years,4023,0,2020-07-11
20-29 years,9474,2,2020-07-11
30-39 years,7903,11,2020-07-11
40-49 years,6193,19,2020-07-11
50-59 years,5492,76,2020-07-11
60-69 years,3231,180,2020-07-11
70-79 years,1819,284,2020-07-11
80-89 years,1639,512,2020-07-11
90-99 years,861,387,2020-07-11
100+ years,49,28,2020-07-11
Unknown/missing,2,0,2020-07-11
0-5 years,899,0,2020-07-12
6-19 years,4155,0,2020-07-12
20-29 years,9669,2,2020-07-12
30-39 years,8023,11,2020-07-12
40-49 years,6283,19,2020-07-12
50-59 years,5569,77,2020-07-12
60-69 years,3284,181,2020-07-12
70-79 years,1834,285,2020-07-12
80-89 years,1650,512,2020-07-12
90-99 years,864,387,2020-07-12
100+ years,49,28,2020-07-12
Unknown/missing,2,0,2020-07-12
0-5 years,912,0,2020-07-13
6-19 years,4244,0,2020-07-13
20-29 years,9831,2,2020-07-13
30-39 years,8106,11,2020-07-13
40-49 years,6331,19,2020-07-13
50-59 years,5625,77,2020-07-13
60-69 years,3302,181,2020-07-13
70-79 years,1847,285,2020-07-13
80-89 years,1656,513,2020-07-13
90-99 years,866,388,2020-07-13
100+ years,50,28,2020-07-13
Unknown/missing,2,0,2020-07-13
0-5 years,922,0,2020-07-14
6-19 years,4328,0,2020-07-14
20-29 years,9927,2,2020-07-14
30-39 years,8168,11,2020-07-14
40-49 years,6376,19,2020-07-14
50-59 years,5672,77,2020-07-14
60-69 years,3326,183,2020-07-14
70-79 years,1869,286,2020-07-14
80-89 years,1661,515,2020-07-14
90-99 years,869,389,2020-07-14
100+ years,50,28,2020-07-14
Unknown/missing,2,0,2020-07-14
0-5 years,933,0,2020-07-15
6-19 years,4420,0,2020-07-15
20-29 years,10097,2,2020-07-15
30-39 years,8256,11,2020-07-15
40-49 years,6441,20,2020-07-15
50-59 years,5741,78,2020-07-15
60-69 years,3366,184,2020-07-15
70-79 years,1881,287,2020-07-15
80-89 years,1674,516,2020-07-15
90-99 years,879,391,2020-07-15
100+ years,50,29,2020-07-15
Unknown/missing,4,0,2020-07-15
0-5 years,943,0,2020-07-16
6-19 years,4525,0,2020-07-16
20-29 years,10275,2,2020-07-16
30-39 years,8340,11,2020-07-16
40-49 years,6528,20,2020-07-16
50-59 years,5819,78,2020-07-16
60-69 years,3400,185,2020-07-16
70-79 years,1898,290,2020-07-16
80-89 years,1682,518,2020-07-16
90-99 years,884,392,2020-07-16
100+ years,50,30,2020-07-16
Unknown/missing,3,0,2020-07-16
0-5 years,955,0,2020-07-17
6-19 years,4650,0,2020-07-17
20-29 years,10452,2,2020-07-17
30-39 years,8436,11,2020-07-17
40-49 years,6627,20,2020-07-17
50-59 years,5909,78,2020-07-17
60-69 years,3432,186,2020-07-17
70-79 years,1914,292,2020-07-17
80-89 years,1697,520,2020-07-17
90-99 years,887,394,2020-07-17
100+ years,51,30,2020-07-17
Unknown/missing,3,0,2020-07-17
0-5 years,968,0,2020-07-18
6-19 years,4724,0,2020-07-18
20-29 years,10582,2,2020-07-18
30-39 years,8503,11,2020-07-18
40-49 years,6678,20,2020-07-18
50-59 years,5969,79,2020-07-18
60-69 years,3472,186,2020-07-18
70-79 years,1928,292,2020-07-18
80-89 years,1702,521,2020-07-18
90-99 years,889,397,2020-07-18
100+ years,52,30,2020-07-18
Unknown/missing,3,0,2020-07-18
0-5 years,980,0,2020-07-19
6-19 years,4865,0,2020-07-19
20-29 years,10790,2,2020-07-19
30-39 years,8612,11,2020-07-19
40-49 years,6776,20,2020-07-19
50-59 years,6054,79,2020-07-19
60-69 years,3524,187,2020-07-19
