date,geoid,county,region,pop,cases,deaths
2021-07-22,27001,Aitkin,Northeast,15902,1391,37
2021-07-22,27003,Anoka,Metro suburbs,353813,43176,465
2021-07-22,27005,Becker,West Central,34371,3891,57
2021-07-22,27007,Beltrami,Northwest,46847,4101,63
2021-07-22,27009,Benton,East Central,40545,5850,98
2021-07-22,27011,Big Stone,Southwest,4989,609,4
2021-07-22,27013,Blue Earth,Southeast,67427,7692,44
2021-07-22,27015,Brown,Southeast,25111,3086,40
2021-07-22,27017,Carlton,Northeast,35837,3568,58
2021-07-22,27019,Carver,Metro suburbs,103551,10733,49
2021-07-22,27021,Cass,East Central,29519,2879,33
2021-07-22,27023,Chippewa,Southwest,11924,1540,38
2021-07-22,27025,Chisago,East Central,55922,6267,54
2021-07-22,27027,Clay,West Central,63955,8293,92
2021-07-22,27029,Clearwater,Northwest,8810,892,17
2021-07-22,27031,Cook,Northeast,5393,174,0
2021-07-22,27033,Cottonwood,Southwest,11277,1681,24
2021-07-22,27035,Crow Wing,East Central,64889,6872,98
2021-07-22,27037,Dakota,Metro suburbs,425423,47198,475
2021-07-22,27039,Dodge,Southeast,20822,1888,3
2021-07-22,27041,Douglas,West Central,37964,4772,81
2021-07-22,27043,Faribault,Southeast,13758,1569,20
2021-07-22,27045,Fillmore,Southeast,21058,1589,10
2021-07-22,27047,Freeborn,Southeast,30444,3501,34
2021-07-22,27049,Goodhue,Southeast,46403,4854,74
2021-07-22,27051,Grant,West Central,6021,595,8
2021-07-22,27053,Hennepin,Hennepin/Ramsey,1259428,126163,1795
2021-07-22,27055,Houston,Southeast,18578,1753,16
2021-07-22,27057,Hubbard,Northwest,21332,1976,41
2021-07-22,27059,Isanti,East Central,39966,4450,66
2021-07-22,27061,Itasca,Northeast,45108,4626,68
2021-07-22,27063,Jackson,Southwest,9911,1231,12
2021-07-22,27065,Kanabec,East Central,16207,1478,28
2021-07-22,27067,Kandiyohi,Southwest,42855,6696,85
2021-07-22,27069,Kittson,Northwest,4248,490,22
2021-07-22,27071,Koochiching,Northeast,12440,968,19
2021-07-22,27073,Lac qui Parle,Southwest,6658,761,22
2021-07-22,27075,Lake,Northeast,10658,840,20
2021-07-22,27077,Lake of the Woods,Northwest,3758,347,4
2021-07-22,27079,Le Sueur,Southeast,28494,2994,27
2021-07-22,27081,Lincoln,Southwest,5673,586,3
2021-07-22,27083,Lyon,Southwest,25629,3650,54
2021-07-22,27087,Mahnomen,Northwest,5519,566,9
2021-07-22,27089,Marshall,Northwest,9390,888,17
2021-07-22,27091,Martin,Southeast,19785,2368,33
2021-07-22,27085,McLeod,Southwest,35873,4338,61
2021-07-22,27093,Meeker,Southwest,23141,2651,44
2021-07-22,27095,Mille Lacs,East Central,26139,3145,56
2021-07-22,27097,Morrison,East Central,33169,4274,62
2021-07-22,27099,Mower,Southeast,40011,4773,33
2021-07-22,27101,Murray,Southwest,8276,1072,10
2021-07-22,27103,Nicollet,Southeast,34220,3338,45
2021-07-22,27105,Nobles,Southwest,21924,4096,50
2021-07-22,27107,Norman,Northwest,6475,550,9
2021-07-22,27109,Olmsted,Southeast,156277,13495,103
2021-07-22,27111,Otter Tail,West Central,58812,5898,87
2021-07-22,27113,Pennington,Northwest,14178,1538,20
2021-07-22,27115,Pine,East Central,29483,3372,23
2021-07-22,27117,Pipestone,Southwest,9047,1171,26
2021-07-22,27119,Polk,Northwest,31529,3907,72
2021-07-22,27121,Pope,West Central,11097,1136,6
2021-07-22,27123,Ramsey,Hennepin/Ramsey,550210,52955,910
2021-07-22,27125,Red Lake,Northwest,3999,403,7
2021-07-22,27127,Redwood,Southwest,15249,1779,41
2021-07-22,27129,Renville,Southwest,14612,1830,46
2021-07-22,27131,Rice,Southeast,66523,8247,111
2021-07-22,27133,Rock,Southwest,9414,1290,19
2021-07-22,27135,Roseau,Northwest,15150,2120,21
2021-07-22,27139,Scott,Metro suburbs,147381,17667,139
2021-07-22,27141,Sherburne,East Central,96036,12114,96
2021-07-22,27143,Sibley,Southeast,15028,1473,10
2021-07-22,27137,St. Louis,Northeast,199754,18233,319
2021-07-22,27145,Stearns,East Central,159256,22651,227
2021-07-22,27147,Steele,Southeast,36803,4005,19
2021-07-22,27149,Stevens,West Central,9753,926,11
2021-07-22,27151,Swift,Southwest,9345,1072,18
2021-07-22,27153,Todd,East Central,24582,2880,33
2021-07-22,27155,Traverse,West Central,3308,381,5
2021-07-22,27157,Wabasha,Southeast,21645,2083,3
2021-07-22,27159,Wadena,East Central,13773,1649,23
2021-07-22,27161,Waseca,Southeast,18691,2407,23
2021-07-22,27163,Washington,Metro suburbs,259201,27637,296
2021-07-22,27165,Watonwan,Southeast,10980,1361,9
2021-07-22,27167,Wilkin,West Central,6254,837,13
2021-07-22,27169,Winona,Southeast,50825,4632,52
2021-07-22,27171,Wright,East Central,136349,16506,153
2021-07-22,27173,Yellow Medicine,Southwest,9795,1153,20
