date,geoid,county,region,pop,cases,deaths
2020-04-22,27001,Aitkin,Northeast,15902,1,0
2020-04-22,27003,Anoka,Metro suburbs,353813,105,2
2020-04-22,27005,Becker,West Central,34371,2,0
2020-04-22,27007,Beltrami,Northwest,46847,6,0
2020-04-22,27009,Benton,East Central,40545,4,0
2020-04-22,27011,Big Stone,Southwest,4989,1,0
2020-04-22,27013,Blue Earth,Southeast,67427,26,0
2020-04-22,27015,Brown,Southeast,25111,8,1
2020-04-22,27017,Carlton,Northeast,35837,38,0
2020-04-22,27019,Carver,Metro suburbs,103551,15,0
2020-04-22,27021,Cass,East Central,29519,4,0
2020-04-22,27023,Chippewa,Southwest,11924,1,0
2020-04-22,27025,Chisago,East Central,55922,7,1
2020-04-22,27027,Clay,West Central,63955,79,3
2020-04-22,27029,Clearwater,Northwest,8810,2,0
2020-04-22,27031,Cook,Northeast,5393,0,0
2020-04-22,27033,Cottonwood,Southwest,11277,6,0
2020-04-22,27035,Crow Wing,East Central,64889,20,0
2020-04-22,27037,Dakota,Metro suburbs,425423,130,6
2020-04-22,27039,Dodge,Southeast,20822,18,0
2020-04-22,27041,Douglas,West Central,37964,2,0
2020-04-22,27043,Faribault,Southeast,13758,4,0
2020-04-22,27045,Fillmore,Southeast,21058,11,0
2020-04-22,27047,Freeborn,Southeast,30444,33,0
2020-04-22,27049,Goodhue,Southeast,46403,19,0
2020-04-22,27051,Grant,West Central,6021,0,0
2020-04-22,27053,Hennepin,Hennepin/Ramsey,1259428,1073,113
2020-04-22,27055,Houston,Southeast,18578,1,0
2020-04-22,27057,Hubbard,Northwest,21332,0,0
2020-04-22,27059,Isanti,East Central,39966,6,0
2020-04-22,27061,Itasca,Northeast,45108,2,0
2020-04-22,27063,Jackson,Southwest,9911,3,0
2020-04-22,27065,Kanabec,East Central,16207,0,0
2020-04-22,27067,Kandiyohi,Southwest,42855,3,0
2020-04-22,27069,Kittson,Northwest,4248,1,0
2020-04-22,27071,Koochiching,Northeast,12440,1,0
2020-04-22,27073,Lac qui Parle,Southwest,6658,1,0
2020-04-22,27075,Lake,Northeast,10658,0,0
2020-04-22,27077,Lake of the Woods,Northwest,3758,0,0
2020-04-22,27079,Le Sueur,Southeast,28494,22,0
2020-04-22,27081,Lincoln,Southwest,5673,2,0
2020-04-22,27083,Lyon,Southwest,25629,6,0
2020-04-22,27087,Mahnomen,Northwest,5519,1,0
2020-04-22,27089,Marshall,Northwest,9390,1,0
2020-04-22,27091,Martin,Southeast,19785,41,4
2020-04-22,27085,McLeod,Southwest,35873,3,0
2020-04-22,27093,Meeker,Southwest,23141,3,0
2020-04-22,27095,Mille Lacs,East Central,26139,1,1
2020-04-22,27097,Morrison,East Central,33169,1,0
2020-04-22,27099,Mower,Southeast,40011,27,0
2020-04-22,27101,Murray,Southwest,8276,3,0
2020-04-22,27103,Nicollet,Southeast,34220,8,2
2020-04-22,27105,Nobles,Southwest,21924,126,1
2020-04-22,27107,Norman,Northwest,6475,6,0
2020-04-22,27109,Olmsted,Southeast,156277,204,4
2020-04-22,27111,Otter Tail,West Central,58812,6,0
2020-04-22,27113,Pennington,Northwest,14178,1,0
2020-04-22,27115,Pine,East Central,29483,15,0
2020-04-22,27117,Pipestone,Southwest,9047,2,0
2020-04-22,27119,Polk,Northwest,31529,17,0
2020-04-22,27121,Pope,West Central,11097,0,0
2020-04-22,27123,Ramsey,Hennepin/Ramsey,550210,219,11
2020-04-22,27125,Red Lake,Northwest,3999,1,0
2020-04-22,27127,Redwood,Southwest,15249,1,0
2020-04-22,27129,Renville,Southwest,14612,3,0
2020-04-22,27131,Rice,Southeast,66523,7,1
2020-04-22,27133,Rock,Southwest,9414,5,0
2020-04-22,27135,Roseau,Northwest,15150,1,0
2020-04-22,27139,Scott,Metro suburbs,147381,28,1
2020-04-22,27141,Sherburne,East Central,96036,13,0
2020-04-22,27143,Sibley,Southeast,15028,1,0
2020-04-22,27137,St. Louis,Northeast,199754,54,10
2020-04-22,27145,Stearns,East Central,159256,20,0
2020-04-22,27147,Steele,Southeast,36803,10,0
2020-04-22,27149,Stevens,West Central,9753,0,0
2020-04-22,27151,Swift,Southwest,9345,1,0
2020-04-22,27153,Todd,East Central,24582,3,0
2020-04-22,27155,Traverse,West Central,3308,2,0
2020-04-22,27157,Wabasha,Southeast,21645,8,0
2020-04-22,27159,Wadena,East Central,13773,0,0
2020-04-22,27161,Waseca,Southeast,18691,3,0
2020-04-22,27163,Washington,Metro suburbs,259201,100,5
2020-04-22,27165,Watonwan,Southeast,10980,4,0
2020-04-22,27167,Wilkin,West Central,6254,10,2
2020-04-22,27169,Winona,Southeast,50825,61,10
2020-04-22,27171,Wright,East Central,136349,30,1
2020-04-22,27173,Yellow Medicine,Southwest,9795,3,0
