date,geoid,county,region,pop,cases,deaths
2020-06-22,27001,Aitkin,Northeast,15902,13,0
2020-06-22,27003,Anoka,Metro suburbs,353813,1910,103
2020-06-22,27005,Becker,West Central,34371,50,0
2020-06-22,27007,Beltrami,Northwest,46847,25,0
2020-06-22,27009,Benton,East Central,40545,202,3
2020-06-22,27011,Big Stone,Southwest,4989,14,0
2020-06-22,27013,Blue Earth,Southeast,67427,227,2
2020-06-22,27015,Brown,Southeast,25111,21,2
2020-06-22,27017,Carlton,Northeast,35837,81,0
2020-06-22,27019,Carver,Metro suburbs,103551,297,1
2020-06-22,27021,Cass,East Central,29519,12,2
2020-06-22,27023,Chippewa,Southwest,11924,67,1
2020-06-22,27025,Chisago,East Central,55922,87,1
2020-06-22,27027,Clay,West Central,63955,528,37
2020-06-22,27029,Clearwater,Northwest,8810,6,0
2020-06-22,27031,Cook,Northeast,5393,1,0
2020-06-22,27033,Cottonwood,Southwest,11277,123,0
2020-06-22,27035,Crow Wing,East Central,64889,94,11
2020-06-22,27037,Dakota,Metro suburbs,425423,1941,83
2020-06-22,27039,Dodge,Southeast,20822,66,0
2020-06-22,27041,Douglas,West Central,37964,54,0
2020-06-22,27043,Faribault,Southeast,13758,33,0
2020-06-22,27045,Fillmore,Southeast,21058,23,0
2020-06-22,27047,Freeborn,Southeast,30444,258,0
2020-06-22,27049,Goodhue,Southeast,46403,107,7
2020-06-22,27051,Grant,West Central,6021,6,0
2020-06-22,27053,Hennepin,Hennepin/Ramsey,1259428,10920,747
2020-06-22,27055,Houston,Southeast,18578,13,0
2020-06-22,27057,Hubbard,Northwest,21332,5,0
2020-06-22,27059,Isanti,East Central,39966,56,0
2020-06-22,27061,Itasca,Northeast,45108,59,12
2020-06-22,27063,Jackson,Southwest,9911,53,0
2020-06-22,27065,Kanabec,East Central,16207,13,1
2020-06-22,27067,Kandiyohi,Southwest,42855,560,1
2020-06-22,27069,Kittson,Northwest,4248,1,0
2020-06-22,27071,Koochiching,Northeast,12440,9,0
2020-06-22,27073,Lac qui Parle,Southwest,6658,4,0
2020-06-22,27075,Lake,Northeast,10658,5,0
2020-06-22,27077,Lake of the Woods,Northwest,3758,0,0
2020-06-22,27079,Le Sueur,Southeast,28494,62,1
2020-06-22,27081,Lincoln,Southwest,5673,6,0
2020-06-22,27083,Lyon,Southwest,25629,276,2
2020-06-22,27087,Mahnomen,Northwest,5519,6,1
2020-06-22,27089,Marshall,Northwest,9390,12,0
2020-06-22,27091,Martin,Southeast,19785,148,5
2020-06-22,27085,McLeod,Southwest,35873,68,0
2020-06-22,27093,Meeker,Southwest,23141,51,1
2020-06-22,27095,Mille Lacs,East Central,26139,30,1
2020-06-22,27097,Morrison,East Central,33169,56,1
2020-06-22,27099,Mower,Southeast,40011,802,2
2020-06-22,27101,Murray,Southwest,8276,47,0
2020-06-22,27103,Nicollet,Southeast,34220,109,12
2020-06-22,27105,Nobles,Southwest,21924,1632,6
2020-06-22,27107,Norman,Northwest,6475,18,0
2020-06-22,27109,Olmsted,Southeast,156277,910,15
2020-06-22,27111,Otter Tail,West Central,58812,85,1
2020-06-22,27113,Pennington,Northwest,14178,50,0
2020-06-22,27115,Pine,East Central,29483,97,0
2020-06-22,27117,Pipestone,Southwest,9047,15,0
2020-06-22,27119,Polk,Northwest,31529,72,2
2020-06-22,27121,Pope,West Central,11097,10,0
2020-06-22,27123,Ramsey,Hennepin/Ramsey,550210,4352,211
2020-06-22,27125,Red Lake,Northwest,3999,3,0
2020-06-22,27127,Redwood,Southwest,15249,12,0
2020-06-22,27129,Renville,Southwest,14612,16,1
2020-06-22,27131,Rice,Southeast,66523,754,4
2020-06-22,27133,Rock,Southwest,9414,28,0
2020-06-22,27135,Roseau,Northwest,15150,6,0
2020-06-22,27139,Scott,Metro suburbs,147381,587,4
2020-06-22,27141,Sherburne,East Central,96036,276,4
2020-06-22,27143,Sibley,Southeast,15028,29,2
2020-06-22,27137,St. Louis,Northeast,199754,143,14
2020-06-22,27145,Stearns,East Central,159256,2137,19
2020-06-22,27147,Steele,Southeast,36803,199,0
2020-06-22,27149,Stevens,West Central,9753,2,0
2020-06-22,27151,Swift,Southwest,9345,20,1
2020-06-22,27153,Todd,East Central,24582,390,2
2020-06-22,27155,Traverse,West Central,3308,5,0
2020-06-22,27157,Wabasha,Southeast,21645,28,0
2020-06-22,27159,Wadena,East Central,13773,12,0
2020-06-22,27161,Waseca,Southeast,18691,41,0
2020-06-22,27163,Washington,Metro suburbs,259201,898,38
2020-06-22,27165,Watonwan,Southeast,10980,157,0
2020-06-22,27167,Wilkin,West Central,6254,20,3
2020-06-22,27169,Winona,Southeast,50825,99,15
2020-06-22,27171,Wright,East Central,136349,403,2
2020-06-22,27173,Yellow Medicine,Southwest,9795,24,0
